"Förvärvsarbetande nattbefolkning 16- år by År, Delområde, Arbetsdelområde and Kön"

"År"	"Delområde"	"Arbetsdelområde"	"Kön"	Förvärvsarbetande nattbefolkning 16- år
"2001"	"Tomteboområdet"	"Teg"	"Totalt"	110
"2001"	"Tomteboområdet"	"Umeå södra landsbygd"	"Totalt"	7
"2001"	"Tomteboområdet"	"Östra stadsdelen"	"Totalt"	134
"2001"	"Tomteboområdet"	"Marieområdet"	"Totalt"	61
"2001"	"Tomteboområdet"	"Universitetsområdet"	"Totalt"	451
"2001"	"Tomteboområdet"	"Tomteboområdet"	"Totalt"	111
"2001"	"Tomteboområdet"	"Holmsund"	"Totalt"	27
"2001"	"Tomteboområdet"	"Hörnefors"	"Totalt"	6
"2001"	"Tomteboområdet"	"Sävar"	"Totalt"	23
"2001"	"Tomteboområdet"	"Holmön"	"Totalt"	0
"2001"	"Tomteboområdet"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Tomteboområdet"	"Uppgift saknas"	"Totalt"	0
"2001"	"Tomteboområdet"	"Ospecificerad arbetsplats"	"Totalt"	36
"2001"	"Tomteboområdet"	"Arbetsplatsen saknar NYKO"	"Totalt"	7
"2001"	"Tomteboområdet"	"Växlande arbetskraft"	"Totalt"	0
"2001"	"Tomteboområdet"	"Totalt"	"Totalt"	1515
"2001"	"Tomteboområdet"	"I20-området"	"Totalt"	..
"2001"	"Holmsund"	"Berghem"	"Totalt"	25
"2001"	"Holmsund"	"Haga/Sandbacka"	"Totalt"	42
"2001"	"Holmsund"	"Centrala staden"	"Totalt"	638
"2001"	"Holmsund"	"Västerslätt"	"Totalt"	107
"2001"	"Holmsund"	"Ersboda/Ersmark"	"Totalt"	169
"2001"	"Holmsund"	"Backen"	"Totalt"	162
"2001"	"Holmsund"	"Umeå västra landsbygd"	"Totalt"	15
"2001"	"Holmsund"	"Tavelsjö"	"Totalt"	4
"2001"	"Holmsund"	"Teg"	"Totalt"	362
"2001"	"Holmsund"	"Umeå södra landsbygd"	"Totalt"	15
"2001"	"Holmsund"	"Östra stadsdelen"	"Totalt"	155
"2001"	"Holmsund"	"Marieområdet"	"Totalt"	105
"2001"	"Holmsund"	"Universitetsområdet"	"Totalt"	608
"2001"	"Holmsund"	"Tomteboområdet"	"Totalt"	13
"2001"	"Holmsund"	"Holmsund"	"Totalt"	1358
"2001"	"Holmsund"	"Hörnefors"	"Totalt"	0
"2001"	"Holmsund"	"Sävar"	"Totalt"	20
"2001"	"Holmsund"	"Holmön"	"Totalt"	0
"2001"	"Holmsund"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Holmsund"	"Uppgift saknas"	"Totalt"	0
"2001"	"Holmsund"	"Ospecificerad arbetsplats"	"Totalt"	62
"2001"	"Holmsund"	"Arbetsplatsen saknar NYKO"	"Totalt"	13
"2001"	"Holmsund"	"Växlande arbetskraft"	"Totalt"	0
"2001"	"Holmsund"	"Totalt"	"Totalt"	3873
"2001"	"Holmsund"	"I20-området"	"Totalt"	..
"2001"	"Hörnefors"	"Berghem"	"Totalt"	8
"2001"	"Hörnefors"	"Haga/Sandbacka"	"Totalt"	34
"2001"	"Hörnefors"	"Centrala staden"	"Totalt"	275
"2001"	"Hörnefors"	"Västerslätt"	"Totalt"	69
"2001"	"Hörnefors"	"Ersboda/Ersmark"	"Totalt"	55
"2001"	"Hörnefors"	"Backen"	"Totalt"	111
"2001"	"Hörnefors"	"Umeå västra landsbygd"	"Totalt"	12
"2001"	"Hörnefors"	"Tavelsjö"	"Totalt"	4
"2001"	"Hörnefors"	"Teg"	"Totalt"	296
"2001"	"Hörnefors"	"Umeå södra landsbygd"	"Totalt"	18
"2001"	"Hörnefors"	"Östra stadsdelen"	"Totalt"	63
"2001"	"Hörnefors"	"Marieområdet"	"Totalt"	52
"2001"	"Hörnefors"	"Universitetsområdet"	"Totalt"	224
"2001"	"Hörnefors"	"Tomteboområdet"	"Totalt"	3
"2001"	"Hörnefors"	"Holmsund"	"Totalt"	52
"2001"	"Hörnefors"	"Hörnefors"	"Totalt"	453
"2001"	"Hörnefors"	"Sävar"	"Totalt"	5
"2001"	"Hörnefors"	"Holmön"	"Totalt"	1
