komk,N07015,N00905,N00914,N00920,N00954,N00968,N02937,N02993,N07004,N07805,N07806,N07900,N07908,N07909,N07911,N07910,N07912,U07406,U01803,pt_share,N60404,U85001,U85002,U85420,U85421,U85422,U85427,U85429,Grupp,Huvudgrupp,Kommungrupp,Kommunnamn
685,1255.649343,173439,79.111627,18.358714,75.2,13.181049,17.6066804,1500.51,1971.914153,140.58619236,0.98028581,27.59355035,3812,7064,71.652977,10149,49,NA,19.4,0.0159487170522038,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,C8,C,8,Vetlanda
686,16.946064,175174,79.388965,18.726692,77.9,48.854555,20.5933857,799.48,1429.482507,138.90409821,3.52704304,26.38006839,4180,8227,69.36346,12837,50,62,18.8,0.0556281667516885,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,C7,C,7,Eksjö
687,325.273397,165409,75.085106,19.404572,84.2,21.265284,45.19197338,402.66,1680.82651,58.73866203,0.39883328,52.49118166,3640,8352,32.367973,21039,45,NA,21.7,0.0313928945783568,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B5,B,5,Tranås
760,84.517657,167218,75.388601,23.727034,72.1,23.832021,7.92572618,1171.88,1438.307494,285.34816139,0.15738805,6.53017241,492,4212,110.89578,6263,50,51,23.3,0.00876181336280649,44.15576757,1256.673577,18.11693114,46,63,17.54375289,10,69.36459424,B5,B,5,Uppvidinge
761,1.737188,166096,72.597339,40.710723,87.3,23.254364,19.53460187,412.55,1072.093312,124.42419804,0.5315846,33.67053828,1047,5225,63.531456,1838,49,51,24,0.0688564646737345,44.15576757,1256.673577,18.11693114,46,63,17.54375289,10,69.36459424,B4,B,4,Lessebo
763,632.938467,162750,78.083522,27.265774,62.4,23.135755,11.63387183,1044.88,1737.578151,233.78740474,1.67926594,22.78606145,2161,5797,159.427443,8351,54,59,20.4,0.0523368700420829,44.15576757,1256.673577,18.11693114,46,63,17.54375289,10,69.36459424,B5,B,5,Tingsryd
764,4.66805,176036,77.490196,41.798442,68,21.005428,19.79080056,974.19,1026.711618,140.77085622,2.47270455,40.12394307,3979,7431,57.261411,10246,48,47,21.2,0.0762961330748546,44.15576757,1256.673577,18.11693114,46,63,17.54375289,10,69.36459424,B4,B,4,Alvesta
765,280.982296,180269,79.701353,15.473251,70.4,35.829904,17.68825834,890.93,1064.598007,143.36389086,0.42471568,30.72956455,3908,10167,94.422235,10144,47,53,17.8,0,44.15576757,1256.673577,18.11693114,46,63,17.54375289,10,69.36459424,C7,C,7,Älmhult
767,118.759853,154067,71.69193,22.665268,76.2,24.344176,18.39749415,517.19,1444.771414,151.85573999,1.83554887,8.26210826,1900,5462,110.352076,8408,50,63,23.1,0.0714629108469798,44.15576757,1256.673577,18.11693114,46,63,17.54375289,10,69.36459424,C7,C,7,Markaryd
780,459.905386,186731,76.138961,12.739367,86.1,21.961298,51.5289611,1665.51,1480.576076,49.92011783,2.13308466,65.04157085,14133,14712,20.752255,16345,44,NA,19.4,0.0588882153806651,44.15576757,1256.673577,18.11693114,46,63,17.54375289,10,69.36459424,B3,B,3,Växjö
781,713.091616,174771,79.359626,13.422605,71.2,11.653117,15.60692319,1747.75,1997.397074,171.27089775,0.1276038,23.11955372,5243,9496,106.573304,13728,48,NA,18.6,0.0126027939851409,44.15576757,1256.673577,18.11693114,46,63,17.54375289,10,69.36459424,C6,C,6,Ljungby
